master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
411867	olaparib	BRD-K02113016	1.50E+02	clinical	chromatin;pilot-set	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 and 2	Selleck	S1060	Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1
411869	oligomycin A	BRD-A81541225	3.30E+01	probe	pilot-set	ATP5L2	inhibitor of mitochondrial ATP synthase	Sigma-Aldrich	75351	CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C
411874	indisulam	BRD-K17610631	3.30E+01	clinical	chromatin;pilot-set	CA9	inhibitor of carbonic anhydrase isoform IX	MedKoo Biosciences		NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12
414479	BRD-K49290616	BRD-K49290616	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		OC[C@@H]1O[C@@H](CC(=O)NCc2ccncn2)CC[C@H]1NC(=O)c1ccc(F)cc1
415688	BRD-K02492147	BRD-K02492147	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CN1CCN(CC1)C(=O)C[C@@H]1O[C@H](CO)[C@@H](NS(=O)(=O)c2cccc(F)c2)C=C1
416775	austocystin D	BRD-K25987073	3.70E+01	probe	pilot-set		natural product; inducer of DNA damage	Harvard Medical School		CC(C)(O)CCc1ccc(O)c2c1oc1cc3O[C@H]4OC=C[C@@]4(O)c3c(O)c1c2=O
416777	SJ-172550	BRD-K93095519	3.30E+01	probe	pilot-set	MDM2;TP53	inhibitor of p53-MDM2 interaction	Tocris Bioscience	3929	CCOc1cc(cc(Cl)c1OCC(=O)OC)\C=C1C(=O)N(N=C/1C)c1ccccc1
416842	BRD-K09587429	BRD-K09587429	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](NC(=O)C[C@@H]1CC[C@@H](NC(=O)CN2CCOCC2)[C@H](CO)O1)c1ccccc1
417098	pandacostat	BRD-K44741158	3.30E+01	probe	chromatin;pilot-set	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Harvard Medical School		ONC(=O)\C=C\c1ccc(cc1)C(=O)N\N=C\c1ccc(O)c(O)c1O
417262	BRD-K96431673	BRD-K96431673	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CN1CCN(CC1)C(=O)C[C@H]1CC[C@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1
417415	cyanoquinoline 11	BRD-K00088062	1.30E+02	clinical	kinome;pilot-set	MAP3K8	inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells	WuXi AppTec	TH02434-056	Fc1ccc(Nc2c(cnc3c(Cl)cc(NCc4cnc[nH]4)cc23)C#N)cc1Cl
417416	tipifarnib-P2	BRD-K62965247	3.30E+01	probe	pilot-set	FNTA	inhibitor of farnesyltransferase	WuXi AppTec	TH02436-025 - P2	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
417417	tipifarnib-P1	BRD-K63195589	3.30E+01	clinical	pilot-set	FNTA	inhibitor of farnesyltransferase	WuXi AppTec;Selleck	TH02436-025 - P1;S1453	Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
417451	Compound 23 citrate	BRD-K67112618	3.30E+01	probe	pilot-set		analog of natural product cortistatin	Harvard University		CN(C)[C@H]1CC[C@H]2[C@@H](CC[C@H]3[C@@H]4CC=C(c5ccc6cnccc6c5)[C@@]4(C)CC[C@H]23)C1
417452	nakiterpiosin	BRD-K38264551	3.30E+01	probe	pilot-set		natural product; inhibitor of microtubule assembly	University of Texas, Southwestern		C[C@H]1C[C@@H](OC1=O)[C@@H](O)[C@@H](C(Cl)Cl)c1ccc2[C@@H]3C[C@@H](Br)[C@]45O[C@H](C[C@]4(C)[C@H]3C(=O)c2c1C)CO[C@H]5O
417663	CCT036477	BRD-A22997170	3.30E+01	probe	pilot-set		inhibitor of WNT signaling by blocking beta-catenin transcription	Sigma-Aldrich	SML0151	Cc1[nH]c2ccccc2c1C(Nc1ccccn1)c1ccc(Cl)cc1
417818	tamatinib	BRD-K20285085	3.30E+01	clinical	CTEP;kinome;pilot-set	SYK	inhibitor of spleen tyrosine kinase	Selleck	S2194	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC
417977	myriocin	BRD-A76279427	3.30E+01	probe	pilot-set	SPTLC1;SPTLC2;SPTLC3	inhibitor of serine palmitoyltransferase	Sigma-Aldrich	M1177	CCCCCCC(=O)CCCCCC\C=C\C[C@H](O)[C@@H](O)C(N)(CO)C(O)=O
417979	YM-155	BRD-K76703230	1.00E+00	clinical	pilot-set	BIRC5	inhibitor of survivin expression	Active Biochem	A-1061	COCCn1c2c(C(=O)c3ccccc3C2=O)[n+](Cc2cnccn2)c1C
417981	BMS-754807	BRD-K13049116	3.30E+01	probe	pilot-set	IGF1R	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	Active Biochem	A-1013	C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1
417982	BIBR-1532	BRD-K04623885	2.70E+02	probe	chromatin;pilot-set	TERT	inhibitor of telomerase reverse transcriptase	Selleck	S1186	C\C(=C/C(=O)Nc1ccccc1C(O)=O)c1ccc2ccccc2c1
417987	tosedostat	BRD-K92241597	2.70E+02	clinical	pilot-set	ANPEP;LAP3;NPEPPS	inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N	Selleck	S1522	CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1
418038	neratinib	BRD-K85606544	3.30E+01	clinical	kinome;pilot-set	EGFR;ERBB2	inhibitor of EGFR and HER2	WuXi AppTec	HKI-272	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C
418162	BRD1812	BRD-K73261812	6.60E+01	probe	pilot-set		screening hit	ChemPacific	46704	Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1
418163	BRD8958	BRD-K68548958	6.60E+01	probe	chromatin;pilot-set	EP300	inhibitor of E1A binding protein p300	Princeton BioMolecular Research	OSSK_701387	CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O
418164	serdemetan	BRD-K60219430	3.30E+01	clinical	pilot-set	MDM2	inhibitor of MDM2	Axon Medchem	1538	C(Cc1c[nH]c2ccccc12)Nc1cccc(Nc2ccncc2)c1
418166	daporinad	BRD-K58550667	2.00E+00	clinical	pilot-set	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	Axon Medchem;Cayman	1279;13287	O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1
418167	MK-1775	BRD-K54256913	3.30E+01	clinical	CTEP;kinome;pilot-set	WEE1	inhibitor of WEE1	Axon Medchem	1494	CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1
418170	tivozanib	BRD-K53414658	3.30E+01	clinical	pilot-set	FLT1;FLT3;KDR	inhibitor of VEGFRs	Selleck	S1207	COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
418172	Ko-143	BRD-K64642496	1.30E+02	probe	pilot-set	ABCG2	inhibitor of breast cancer resistance protein multidrug transporter (BCRP)	Sigma-Aldrich	K2144	COc1ccc2c3C[C@@H]4N([C@@H](CC(C)C)c3[nH]c2c1)C(=O)[C@H](CCC(=O)OC(C)(C)C)NC4=O
418209	CR-1-31B	BRD-K23547378	3.30E+01	probe	pilot-set	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	Boston University		CONC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
425733	BRD-K71781559	BRD-K71781559	6.60E+01	probe	outreach		screening hit	National Cancer Institute Chemotherapeutic Agents Repository		OC(=O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1
429535	BRD-K86535717	BRD-K86535717	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC
431987	BRD-K48334597	BRD-K48334597	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C1=O
434195	ML312	BRD-K70809902	6.60E+01	probe	MLPCN;outreach	SCARB1	inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake	Broad Institute of MIT and Harvard		CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(=O)(=O)c3ccc(Cl)cc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1
435086	BRD-K04800985	BRD-K04800985	6.70E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCCC2)Oc2ccc(NC(=O)Nc3c(C)noc3C)cc2C1=O
435898	BRD-K78574327	BRD-K78574327	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O
436211	BRD-K19103580	BRD-K19103580	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc2ccc(cc2C1=O)N(C)C
437263	BRD-K30019337	BRD-K30019337	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CC(C)NC(=O)N(C)C[C@H]1Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)N(C)C
437906	BRD-K84807411	BRD-K84807411	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2c(NC(=O)c3cc(C)nn3C)cccc2C1=O
438345	BRD-K01737880	BRD-K01737880	6.60E+01	probe	outreach		screening hit	Broad Institute of MIT and Harvard		COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1
438564	BRD-K44224150	BRD-K44224150	3.40E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO
438691	BRD-K75293299	BRD-K75293299	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
438776	BRD-K64610608	BRD-K64610608	3.30E+01	probe	DOS;outreach		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]1Oc2c(NC(=O)Nc3cccc4ccccc34)cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO
439882	BRD-K09344309	BRD-K09344309	3.30E+01	probe	DOS;outreach		screening hit	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
442141	BRD-K02251932	BRD-K02251932	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc2c(NS(=O)(=O)c3ccc(F)cc3)cccc2C1=O
444779	BRD-K55116708	BRD-K55116708	6.60E+01	probe	DOS;outreach		product of diversity oriented synthesis; inhibitor of leukemic stem cells	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc2ccccc2N)Oc2c(NC(=O)Nc3ccccc3)cccc2C1=O
446546	BRD-K41334119	BRD-K41334119	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO
446716	BRD-K34485477	BRD-K34485477	3.30E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(NC(=O)CCN3CCOCC3)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO
447732	BRD-K16147474	BRD-K16147474	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@H](C)CO)C(=O)Cc2c1
448891	BRD-K29086754	BRD-K29086754	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2CC1=O
449707	BRD-K33199242	BRD-K33199242	6.70E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(cc2CC(=O)N(C[C@@H]1C)[C@@H](C)CO)N(C)C
450415	BRD-K52037352	BRD-K52037352	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)NC3CCCCC3)cc2CC1=O
452570	BRD-K27986637	BRD-K27986637	6.60E+01	probe	DOS;outreach		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc3OCCOc3c2)OCc2cn(CCCC1=O)nn2
463198	BRD-K37390332	BRD-K37390332	3.30E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)c3ccncc3)cc2CC1=O
464458	tandutinib	BRD-K89162000	6.60E+01	clinical	CTEP;kinome	FLT3;KIT	inhibitor of c-KIT and VEGFR3	Selleck	S1043	COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1
464880	fulvestrant	BRD-A85667082	6.60E+01	FDA	std-of-care	ESR1;GPER1	antagonist of the estrogen receptor	Selleck	S1191	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31
467037	bafilomycin A1	BRD-K86787118	3.30E-01	probe	outreach	ATP6V0A1	inhibitor of the vacuolar-type H+-ATPase	EMD Biosciences	BML-CM110-0100	CO[C@H]1\C=C\C=C(C)\C[C@@H](C)[C@H](O)[C@H](C)\C=C(C)\C=C(OC)\C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@H]1C[C@@H](O)[C@H](C)[C@H](O1)C(C)C
478694	isonicotinohydroxamic acid	BRD-K55478147	3.30E+01	probe	chromatin;lit-search;outreach	HDAC6	inhibitor of HDAC6	Stanley Center for Psychiatric Research at the Broad Institute		ONC(=O)c1ccncc1
481311	HLI 373	BRD-K17349619	3.30E+01	probe	pilot-set	MDM2	inhibitor of MDM2	Tocris Bioscience	3503	CN(C)CCCNc1c2ccccc2n(C)c2nc(=O)n(C)c(=O)c12
580922	NSC19630	BRD-K39706510	6.60E+01	probe	lit-search	WRN	inhibitor of Werner syndrome helicase activity	EMD Biosciences	681467	CCC(=O)OCN1C(=O)C=CC1=O
594399	NSC48300	BRD-K45748132	6.60E+01	probe	outreach	TASP1	inhibitor of threonine endopeptidase taspase 1	National Cancer Institute Chemotherapeutic Agents Repository		O[As](O)(=O)c1ccc(Cc2ccc(cc2)[As](O)(O)=O)cc1
594663	PRIMA-1-Met	BRD-K49456190	3.30E+01	probe	pilot-set	TP53	re-activator of the pro-apoptotic activity of mutant p53	Tocris Bioscience	3710	COC[C@]1(CO)[N@@]2CC[C@@H](CC2)C1=O
594664	isoevodiamine	BRD-A68631409	3.30E+01	probe	pilot-set		natural product	Sigma-Aldrich	E3531	CN1C2N(CCc3c2[nH]c2ccccc32)C(=O)c2ccccc12
594665	UNC0638	BRD-K86856088	3.30E+01	probe	chromatin;lit-search;pilot-set	EHMT1;EHMT2	inhibitor of EHMT2 and GLP methyltransferase	Tocris Bioscience	4343	COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1
595102	cucurbitacin I	BRD-A28105619	3.30E+01	probe	chromatin;outreach		natural product; modulator of NFKB1 and STAT3 signaling	Tocris Bioscience	1571	CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
596868	BRD-K50799972	BRD-K50799972	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		COc1ccccc1-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccncc1
600054	BRD-K17060750	BRD-K17060750	6.70E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CN(C)CC(=O)N[C@@H]1CC[C@@H](CCNC(=O)Nc2ccc(F)cc2)O[C@H]1CO
601923	barasertib	BRD-K63923597	6.60E+01	clinical	kinome	AURKB	inhibitor of aurora kinase B	Selleck	S1147	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
606033	linifanib	BRD-K99749624	6.60E+01	clinical	kinome	FLT1;FLT3;KDR	inhibitor of VEGFRs	Selleck	S1003	Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1
606034	veliparib	BRD-K87142802	3.30E+01	clinical	chromatin;CTEP;pilot-set	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)	Selleck	S1004	C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O
606035	saracatinib	BRD-K19540840	6.60E+01	clinical	CTEP;kinome	ABL1;SRC	inhibitor of SRC and ABL1	Selleck	S1006	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c5OCOc5ccc4Cl)ncnc3c2)CC1
606135	afatinib	BRD-K66175015	6.60E+01	clinical	kinome	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1011	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
606136	cediranib	BRD-K86930074	6.60E+01	clinical	CTEP;kinome	FLT1;FLT4;KDR	inhibitor of VEGFRs	Selleck	S1017	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
606138	canertinib	BRD-K50168500	6.60E+01	clinical	kinome	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1019	Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
606142	obatoclax	BRD-K15600710	6.60E+01	clinical	CTEP	BCL2;BCL2L1;MCL1	inhibitor of MCL1, BCL2, and BCL-xL	Selleck	S1057	COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1
606143	masitinib	BRD-K71035033	6.60E+01	clinical	kinome	KIT;PDGFRA;PDGFRB	inhibitor of c-KIT, PDGFRA, and PDGFRB	Selleck	S1064	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1
606144	ZSTK474	BRD-K63068307	6.60E+01	clinical	kinome	PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K catalytic subunits beta, delta, and gamma	Selleck	S1072	FC(F)c1nc2ccccc2n1-c1nc(nc(n1)N1CCOCC1)N1CCOCC1
606246	brivanib	BRD-K28428262	6.60E+01	clinical	lit-search	FLT1;KDR	inhibitor of VEGFR 1/2	Selleck	S1084	C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C
606248	GDC-0879	BRD-K67578145	6.60E+01	probe	kinome	BRAF	inhibitor of BRAF	Selleck	S1104	OCCn1cc(c(n1)-c1ccncc1)-c1ccc2c(CC\C2=N/O)c1
606249	NVP-TAE684	BRD-K50140147	6.60E+01	probe	kinome	ALK	inhibitor of ALK and ALK-NPM fusion protein	Selleck	S1108	COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1
606254	SNS-032	BRD-K43389698	6.60E+01	clinical	chromatin;kinome;lit-search	CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5	inhibitor of cyclin-dependent kinases	Selleck	S1145	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
606256	PLX-4720	BRD-K16478699	3.30E+01	probe	kinome	BRAF	inhibitor of BRAF	Selleck	S1152	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F
606356	TGX-221	BRD-A41692738	6.60E+01	probe	kinome	PIK3CB	inhibitor of PI3K catalytic subunit beta	Selleck	S1169	CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1
606363	KU-0063794	BRD-K67566344	6.60E+01	probe	kinome	MTOR	inhibitor of mTOR	Selleck	S1226	COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1
606470	TG-100-115	BRD-K64785675	6.60E+01	clinical	kinome	PIK3CD;PIK3CG	inhibitor of PI3K catalytic subunits delta and gamma	Selleck	S1352	Nc1nc(N)c2nc(-c3cccc(O)c3)c(nc2n1)-c1cccc(O)c1
606471	GSK1059615	BRD-K06750613	3.30E+01	clinical	kinome	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	Selleck	S1360	O=C1NC(=O)\C(S1)=C\c1ccc2nccc(-c3ccncc3)c2c1
606586	SU11274	BRD-K02965346	6.60E+01	probe	kinome	MET	inhibitor of MET	Selleck	S1080	CN(c1cccc(Cl)c1)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c(C)c(C(=O)N4CCN(C)CC4)c3C)c2c1
606670	BRD-K88742110	BRD-K88742110	6.60E+01	probe	chromatin;outreach	HDAC8	inhibitor of HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1
607696	LRRK2-IN-1	BRD-K01436366	6.60E+01	probe	kinome	DCLK1;LRRK2	inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase	EMD Biosciences	438193	COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)C(=O)N1CCC(CC1)N1CCN(C)CC1
608062	BRD8899	BRD-K22828899	3.30E+01	probe	lit-search;synthesis	STK33	inhibitor of serine/threonine kinasase STK33	Broad Institute of MIT and Harvard		CC(=O)NC[C@@H]1C[C@H](CN1)NS(=O)(=O)c1cccc2cncc(C)c12
608999	EX-527	BRD-K76964878	8.00E+01	clinical	chromatin;pilot-set	SIRT1	inhibitor of sirtuin 1	Selleck	S1541	NC(=O)[C@H]1CCCc2c1[nH]c1ccc(Cl)cc21
609056	ELCPK	BRD-K44847641	4.00E-01	probe	pilot-set		screening hit	ChemDiv Inc.	G408-2080	O=S(=O)(N1CCCc2ccccc12)c1ccc(cc1)-c1cnc(o1)C1CC1
609058	NPC-26	BRD-K36852164	4.00E+01	probe	pilot-set		induces cell death through a non-apoptotic, mitochondrial-dependent mechanism	Columbia University		CCOC(=O)c1c(NC(=O)c2ccc(s2)[N+]([O-])=O)sc2c1CC(C)(C)NC2(C)C
609060	1S,3R-RSL-3	BRD-K23853216	3.30E+01	probe	pilot-set	GPX4	synthetic lethal with HRAS in engineered cells; inhibitor of GPX4	Columbia University		COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@@H](N1C(=O)CCl)c1ccc(cc1)C(=O)OC
609061	CIL55A	BRD-K69982010	8.00E+01	probe	pilot-set		screening hit	Columbia University		CN(C)CCNC(=O)c1cc2CSc3ccc(Cl)cc3-c2s1
609062	SCH-529074	BRD-K24376488	3.30E+01	probe	pilot-set	TP53	activator of mutant p53	Broad Institute of MIT and Harvard		CN(C)CCCNc1nc(CN2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)nc2ccccc12
609063	StemRegenin 1	BRD-K36739687	6.60E+01	probe	chromatin;lit-search;outreach	AHR	inhibitor of aryl hydrocarbon receptor	BioVision	1967-5	CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(nc12)-c1csc2ccccc12
609091	FQI-2	BRD-K35498412	3.30E+01	probe	chromatin;pilot-set		inhibitor of LSF1-mediated transcription	Boston University		CCOc1ccccc1-c1cc(=O)[nH]c2cc3OCOc3cc12
609110	ML210	BRD-K01877528	3.30E+01	probe	pilot-set		selectively kills engineered cells expressing mutant HRAS	Broad Institute of MIT and Harvard		Cc1onc(C(=O)N2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c1[N+]([O-])=O
609121	darinaparsin	BRD-K35723520	3.30E+01	clinical	pilot-set		inducer of ROS; inhibitor of microtubule assembly	Sigma-Aldrich	D2071	C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
609124	PX-12	BRD-A56592690	1.00E+02	clinical	pilot-set	TXN	inhibitor of thioredoxin-1	Sigma-Aldrich	M5324	CCC(C)SSc1ncc[nH]1
