"unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","MCLP.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","MCLP.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","NCI.Sarcoma.cellid"
"MB-1","Thyroid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_2109","MB-110762021_","","","","",NA,"ACH-001356",""
"MB002","CNS/Brain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_VU79","MB00210772021_","","","","",NA,"ACH-001201",""
"MC-1010","Myeloid","MC-1010","","","","","","","MC-1010","","","MC-1010","","","","","","","","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1396","MC1010_884_2019","","haematopoietic_and_lymphoid_tissue","Adult acute myeloid leukemia","Cancer cell line",NA,"ACH-002390",""
"MC/CAR","Lymphoid","MC-CAR","","MCCAR","","","","MC-CAR","MC-CAR","","","MC-CAR","","","","MC-CAR","","","","haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1397","MCCAR_885_2019","MC-CAR","haematopoietic_and_lymphoid_tissue","","Transformed cell line",NA,"ACH-002270",""
"MC116","Lymphoid","MC116","MC116","MC116","","MC116","MC116","MC116","","MC116","MC116","MC116","","MC116","MC116","MC116","","","MC116","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","Lymph Node","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_1399","MC116_887_2019","MC116","haematopoietic_and_lymphoid_tissue","B-cell non-Hodgkin lymphoma","Cancer cell line",NA,"ACH-000583",""
"MCAS","Ovary/Fallopian Tube","","MCAS","","","MCAS","","","","MCAS","MCAS","MCAS","","MCAS","MCAS","","","MCAS_OVARY","MCAS","","ovary","","","Ovary","","","ovary","","","","ovary","ovary","Ovary","ovary","MCAS","ovary","","","","ovary","ovary","CVCL_3020","MCAS_888_2019","","ovary","Ovarian mucinous cystadenocarcinoma","Cancer cell line",NA,"ACH-000796",""
"MCC13","Skin","","","","","","","","MCC13","","","MCC13","","","","","","","","","","","","","","","","","","","skin","","","skin","","","","","","","","CVCL_2583","MCC13_889_2019","","skin","Merkel cell carcinoma","Cancer cell line","TRUE","ACH-001550",""
"MCC14/2","Skin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_2584","MCC14/210832021_","","","","",NA,"ACH-001551",""
"MCC26","Skin","","","","","","","","MCC26","","","MCC26","","","","","","","","","","","","","","","","","","","skin","","","skin","","","","","","","","CVCL_2585","MCC26_890_2019","","skin","Merkel cell carcinoma","Cancer cell line",NA,"ACH-001552",""
"MCF-10A","Breast","","","MCF10A","MCF10A","MCF 10A","","","","","","","mcf10a","","MCF10A","","","","MCF10A","","","breast","breast","Breast","","","","","","breast","","","","","","","","","","","breast","CVCL_0598","MCF10A_891_2019","","breast","","Spontaneously immortalized cell line",NA,"ACH-001357",""
"MCF-10F","Breast","","","","MCF10F","","","","","","","","","","","","","","","","","","breast","","","","","","","","","","","","","","","","","","","CVCL_3633","MCF10F_893_2019","","breast","","Spontaneously immortalized cell line",NA,"",""
"MCF-12A","Breast","","","","MCF12A","","","","","","","","mcf12a","","","","","","","","","","breast","","","","","","","breast","","","","","","","","","","","","CVCL_3744","MCF12A_894_2019","","breast","","Spontaneously immortalized cell line",NA,"ACH-002327",""
"MCF-7","Breast","MCF7","MCF7","MCF7","MCF7","MCF-7","MCF7","MCF7","","MCF7","MCF7","MCF7","mcf7","MCF7","MCF-7","MCF7","MCF7///BR.MCF7///MCF7/ATCC","MCF7_BREAST","MCF7","breast","breast","breast","breast","Breast","BREAST","Breast","breast","breast","11-mcf7///MCF7","breast","breast","breast","Breast","breast","MCF7","breast","MCF7","breast","Breast Cancer///Breast","breast","breast","CVCL_0031","MCF7_895_2019","MCF7","breast","Invasive ductal carcinoma, not otherwise specified","Cancer cell line","TRUE","ACH-000019",""
"MCF-7/E6","Breast","","","","","","","","","","","","","","","","MCF7-E6","","","","","","","","","","","","","","","","","","","","","","Breast Cancer","","","CVCL_M439","MCF-7/E610892021_","","","Invasive breast carcinoma of no special type","Cancer cell line","TRUE","",""
"MCF-7/LY2","Breast","","","","LY2","","","","","","","","ly2///mcf7ly2","","","","","","","","","","breast","","","","","","13-ly2///LY2","breast","breast","","","","","","","","","","","CVCL_9579","LY2_874_2019","","breast","Invasive ductal carcinoma, not otherwise specified","Cancer cell line","TRUE","ACH-002325",""
"MCF10DCIS.com","Breast","","","","","MCF10DCIS.com","","","","","","","","","MCF10DCIS.com","","","","","","","","","Breast","","","","","","","","","","","","","","","","","","CVCL_5552","MCF10DCIS.com_892_2019","","breast","","Transformed cell line",NA,"",""
"MDA-MB-134-VI","Breast","MDA-MB-134-VI","MDA-MB-134-VI","","MDAMB134VI","MDA-MB-134-VI","","MDA-MB-134-VI","","MDA-MB-134-VI","MDA-MB-134-VI","","mdamb134vi///mda134///mda143","","MDA-MB-134-VI","","","","MDAMB134VI","breast","breast","","breast","Breast","","breast","breast","","MDA134","breast","breast","","","breast","","","","","","","breast","CVCL_0617","MDAMB134VI_897_2019","","breast","Invasive lobular breast carcinoma","Cancer cell line","TRUE","ACH-000044",""
"MDA-MB-157","Breast","MDA-MB-157","MB 157///MDA-MB-157","","MB157///MDAMB157","MDA-MB-157","","MDA-MB-157","","MDA-MB-157","MDA-MB-157","MDA-MB-157","mb157///mdamb157///mda157","MDAMB157","MDA-MB-157","MDA-MB-157","","","MDAMB157","breast","breast","","breast","Breast","","Breast","breast","breast","MDA157","breast","breast","breast","Breast","breast","MDAMB157","breast","","","","","breast","CVCL_0618","MDAMB157_898_2019","MDA-MB-157","breast","Breast carcinoma","Cancer cell line","TRUE","ACH-000621",""
"MDA-MB-175-VII","Breast","MDA-MB-175-VII","MDA-MB-175-VII","MDAMB175VII","MDAMB175VII///MDAMB175","MDA-MB-175-VII","","","","MDA-MB-175-VII","MDA-MB-175-VII","MDA-MB-175-VII","mdamb175vii///mda175vii///mda175","","MDA-MB-175-VII","MDA-MB-175-VII","","MDAMB175VII_BREAST","MDAMB175VII","breast","breast","breast","breast","Breast","","","breast","breast","MDA175VII","breast","breast","","Breast","breast","","","","","","breast","breast","CVCL_1400","MDAMB175VII_899_2019","MDA-MB-175-VII","breast","Invasive ductal carcinoma, not otherwise specified","Cancer cell line","TRUE","ACH-000759",""
"MDA-MB-231","Breast","MDA-MB-231","MDA-MB-231","MDAMB231","MDAMB231","MDA-MB-231","","MDA-MB-231","","MDA-MB-231","MDA-MB-231","MDA-MB-231","mdamb231///mda231","MDAMB231","MDA-MB-231","MDA-MB-231","MDA-MB-231/ATCC///BR.MDA.MB.231","MDAMB231_BREAST","MDAMB231","breast","breast","breast","breast","Breast","","Breast","breast","breast","1-mda231///MDA231","breast","breast","breast","Breast","breast","MDAMB231","breast","MDAMB231","breast","Breast Cancer///Breast","breast","breast","CVCL_0062","MDAMB231_900_2019","MDA-MB-231","breast","Breast adenocarcinoma","Cancer cell line","TRUE","ACH-000768",""
"MDA-MB-330","Breast","","","","","MDA-MB-330","","MDA-MB-330","MDA-MB-330","","","MDA-MB-330","mdamb330///mda330","","MDA-MB-330","MDA-MB-330","","","","","","","","Breast","","Breast","","","MDA330","breast","breast","","","breast","","","","","","","","CVCL_0619","MDAMB330_901_2019","MDA-MB-330","breast","Breast carcinoma","Cancer cell line","TRUE","ACH-001358",""
"MDA-MB-361","Breast","MDA-MB-361","MDA-MB-361","","MDAMB361","MDA-MB-361","","MDA-MB-361","MDA-MB-361","MDA-MB-361","MDA-MB-361","MDA-MB-361","mdamb361///mda361///mda36120","MDAMB361","MDA-MB-361","MDA-MB-361","","","MDAMB361","breast","breast","","breast","Breast","","Breast","breast","breast","MDA361","breast","breast","breast","","breast","MDAMB361","breast","","","","","breast","CVCL_0620","MDAMB361_902_2019","MDA-MB-361","breast","Breast adenocarcinoma","Cancer cell line","TRUE","ACH-000934",""
"MDA-MB-415","Breast","MDA-MB-415","MDA-MB-415","","MDAMB415","MDA-MB-415","","MDA-MB-415","","MDA-MB-415","MDA-MB-415","MDA-MB-415","mdamb415","MDAMB415","MDA-MB-415","MDA-MB-415","","","MDAMB415","breast","breast","","breast","Breast","","breast","breast","breast","","breast","breast","breast","","breast","MDAMB415","breast","","","","","breast","CVCL_0621","MDAMB415_903_2019","MDA-MB-415","breast","Breast adenocarcinoma","Cancer cell line","TRUE","ACH-000876",""
"MDA-MB-435","Skin","MDA-MB-435","MDA-MB-435S","MDAMB435","MDAMB435","MDA-MB-435","","","","MDA-MB-435S","MDA-MB-435S","","","MDAMB435S","MDA-MB-435","","MDA-MB-435///ME.MDA.MB.435","","","haematopoietic_and_lymphoid_tissue","skin","skin","haematopoietic_and_lymphoid_tissue","Skin","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","skin","","","MDAMB435S","skin","","","Melanoma","","","CVCL_0417","MDAMB435_904_2019","","haematopoietic_and_lymphoid_tissue","Amelanotic melanoma","Cancer cell line","TRUE","",""
"MDA-MB-435S","Skin","","","","","","","","","","","","","","","","MDA-MB-435S","MDAMB435S_SKIN","","","","","","","","","","","","","","","","","","","","","Breast Cancer","skin","","CVCL_0622","MDA-MB-435S11012021_","","","","",NA,"ACH-000884",""
"MDA-MB-436","Breast","","MDA-MB-436","","MDAMB436","MDA-MB-436","","MDA-MB-436","","MDA-MB-436","MDA-MB-436","MDA-MB-436","mdamb436///mda436","","MDA-MB-436","MDA-MB-436","","MDAMB436_BREAST","MDAMB436","","breast","","breast","Breast","","breast","breast","","7-mda436///MDA436","breast","breast","","Breast","breast","","","MDAMB436","breast","","breast","breast","CVCL_0623","MDAMB436_905_2019","MDA-MB-436","breast","Invasive ductal carcinoma, not otherwise specified","Cancer cell line","TRUE","ACH-000573",""
"MDA-MB-453","Breast","MDA-MB-453","MDA-MB-453","MDAMB453","MDAMB453","MDA-MB-453","","MDA-MB-453","","MDA-MB-453","MDA-MB-453","MDA-MB-453","mdamb453","MDAMB453","MDA-MB-453","MDA-MB-453","","","MDAMB453","breast","breast","breast","breast","Breast","","Breast","breast","breast","","breast","breast","breast","Breast","breast","MDAMB453","breast","MDAMB453","breast","","","breast","CVCL_0418","MDAMB453_906_2019","MDA-MB-453","breast","Breast adenocarcinoma","Cancer cell line","TRUE","ACH-000910",""
"MDA-MB-468","Breast","MDA-MB-468","MDA-MB-468","MDAMB468","MDAMB468","MDA-MB-468","","MDA-MB-468","","MDA-MB-468","MDA-MB-468","MDA-MB-468","mdamb468///mda468","MDAMB468","MDA-MB-468","MDA-MB-468","MDA-MB-468","MDAMB468_BREAST","MDAMB468","breast","breast","breast","breast","Breast","","breast","breast","breast","10-mda468///MDA468","breast","breast","breast","Breast","breast","MDAMB468","breast","MDAMB468","breast","Breast Cancer","breast","breast","CVCL_0419","MDAMB468_907_2019","MDA-MB-468","breast","Breast adenocarcinoma","Cancer cell line","TRUE","ACH-000849",""
"MDA-PCa-2b","Prostate","","MDA PCa 2b","","","","","","","MDA_PCa_2b","MDA_PCa_2b","","","","","","","","","","prostate","","","","","","prostate","","","","","","","","","","","","","","","CVCL_4748","MDAPCa2b_896_2019","","prostate","Prostate carcinoma","Cancer cell line","TRUE","ACH-000952",""
"MDST8","Bowel","","MDST8","","","MDST8","MDST8","MDST8","MDST8","MDST8","MDST8","MDST8","","MDST8","MDST8","MDST8","","","MDST8","","large_intestine","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","","","","large_intestine","large_intestine","","large_intestine","","","","","","","colon","CVCL_2588","MDST8_908_2019","MDST8","large_intestine","Colon carcinoma","Cancer cell line",NA,"ACH-000935",""
"ME-1 [Human leukemia]","Myeloid","","ME-1","","","ME-1","","ME-1","","ME-1","ME-1","ME-1","","ME1","ME-1","ME-1","","","","","haematopoietic_and_lymphoid_tissue","","","Bone Marrow","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_2110","ME1_909_2019","ME-1","haematopoietic_and_lymphoid_tissue","Adult acute myeloid leukemia","Cancer cell line",NA,"ACH-000439",""
"ME-180","Cervix","ME-180","","","","ME-180","","ME-180","ME-180","","","ME-180","","","ME-180","ME-180","","","","cervix","","","","Cervix","","Cervix","","urogenital_system","","","cervix","","Cervix","cervix","","","","","","","","CVCL_1401","ME180_910_2019","ME-180","cervix","Human papillomavirus-related cervical squamous cell carcinoma","Cancer cell line","TRUE","ACH-001359",""
"ME:MDA_N","Skin","","","","","","","","","","","","","","","","MDA-N///ME.MDA.N","","","","","","","","","","","","","","","","","","","","","","Melanoma","","","CVCL_1910","ME:MDA_N11092021_","","skin","","Cancer cell line","TRUE","",""
"MEC-1","Lymphoid","","MEC-1","MEC1","","","","MEC-1","","MEC-1","MEC-1","","","MEC1","","","","","MEC1","","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","Blood","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_1870","MEC1_911_2019","","haematopoietic_and_lymphoid_tissue","Chronic lymphocytic leukemia","Cancer cell line",NA,"ACH-000405",""
"MEC-2","Lymphoid","","MEC-2","","","","","MEC-2","","","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","","","","","Blood","","","","","","","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1871","MEC2_912_2019","","haematopoietic_and_lymphoid_tissue","Chronic lymphocytic leukemia","Cancer cell line",NA,"ACH-001121",""
"MEG-01","Myeloid","MEG-01","MEG-01","MEG01","","","","MEG-01","","MEG-01","MEG-01","MEG-01","","","","MEG-01","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","Blood","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_0425","MEG01_913_2019","MEG-01","haematopoietic_and_lymphoid_tissue","Chronic myelogenous leukemia, BCR-ABL1 positive","Cancer cell line",NA,"ACH-000072",""
"MES-SA","Uterus","MES-SA","MES-SA","MESSA","","","","MES-SA","","MES-SA","MES-SA","MES-SA","","MESSA","MES-SA","MES-SA","","MESSA_SOFT_TISSUE","MESSA","endometrium","soft_tissue","uterus","","","","Uterus","endometrium","urogenital_system","","","endometrium","soft_tissue","Uterus","endometrium","MESSA","soft_tissue","","","","uterus","uterus","CVCL_1404","MESSA_916_2019","MES-SA","endometrium","Uterine corpus sarcoma","Cancer cell line",NA,"ACH-000449","MES-SA"
"MET-2B","Skin","","","","","","","MET-2B","","","","","","","","","","","","","","","","","","Skin","","","","","","","","skin","","","","","","","","CVCL_VS57","MET2B_917_2019","","skin","Melanoma","Cancer cell line",NA,"ACH-002388",""
"MEXF 514L","Skin","","","","","","","","","","","","","","","","MEXF 514L","","","","","","","","","","","","","","","","","","","","","","Melanoma","","","CVCL_D129","MEXF 514L11152021_","","","Melanoma","Cancer cell line",NA,"",""
"MFE-280","Uterus","MFE-280","MFE-280","","","","","MFE-280","","MFE-280","MFE-280","MFE-280","","","","MFE-280","","MFE280_ENDOMETRIUM","MFE280","endometrium","endometrium","","","","","Uterus","endometrium","urogenital_system","","","endometrium","","","endometrium","","","","","","uterus","uterus","CVCL_1405","MFE280_919_2019","MFE-280","endometrium","Endometrial adenocarcinoma","Cancer cell line",NA,"ACH-000192",""
"MFE-296","Uterus","MFE-296","MFE-296","","","","","MFE-296","","MFE-296","MFE-296","MFE-296","","MFE296","","MFE-296","","MFE296_ENDOMETRIUM","MFE296","endometrium","endometrium","","","","","endometrium","endometrium","","","","endometrium","endometrium","","endometrium","MFE296","endometrium","","","","uterus","uterus","CVCL_1406","MFE296_920_2019","MFE-296","endometrium","Endometrial adenocarcinoma","Cancer cell line",NA,"ACH-000879",""
"MFE-319","Uterus","","MFE-319","","","","MFE319","MFE-319","","MFE-319","MFE-319","MFE-319","","MFE319","","MFE-319","","MFE319_ENDOMETRIUM","MFE319","","endometrium","","","","ENDOMETRIUM","Uterus","endometrium","","","","endometrium","endometrium","","endometrium","MFE319","endometrium","","","","uterus","uterus","CVCL_2112","MFE319_921_2019","MFE-319","endometrium","Endometrial adenosquamous carcinoma","Cancer cell line",NA,"ACH-000988",""
"MFH-ino","Soft Tissue","MFH-ino","","","","","","MFH-ino","MFH-ino","","","MFH-ino","","","","MFH-ino","","","","soft_tissue","","","","","","Misc","","soft_tissue","","","soft_tissue","","","soft_tissue","","","","","","","","CVCL_1407","MFHino_922_2019","MFH-ino","soft_tissue","Undifferentiated pleomorphic sarcoma","Cancer cell line",NA,"ACH-002271",""
"MFM-223","Breast","MFM-223","","","MFM223","MFM-223","","MFM-223","MFM-223","","","MFM-223","mfm223///mfn223","","MFM-223","MFM-223","","","MFM223","breast","","","breast","Breast","","Breast","","breast","MFM223///MFN223","breast","breast","","Breast","breast","","","MFM223","breast","","","breast","CVCL_1408","MFM223_923_2019","MFM-223","breast","Breast carcinoma","Cancer cell line","TRUE","ACH-001819",""
"MG-63","Bone","MG-63","MG-63","MG63","","MG-63","","MG-63","","MG-63","MG-63","MG-63","","MG63","MG-63","MG-63","","MG63_BONE","MG63","bone","bone","bone","","Bone","","Bone","bone","bone","","","bone","bone","Bone","bone","MG63","bone","","","","bone","bone","CVCL_0426","MG63_924_2019","MG-63","bone","Osteosarcoma","Cancer cell line",NA,"ACH-000359",""
"MHH-CALL-2","Lymphoid","MHH-CALL-2","MHH-CALL-2","","","","","MHH-CALL-2","","MHH-CALL-2","MHH-CALL-2","MHH-CALL-2","","","","MHH-CALL-2","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1409","MHHCALL2_925_2019","MHH-CALL-2","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000020",""
"MHH-CALL-3","Lymphoid","","MHH-CALL-3","","","","","","","MHH-CALL-3","MHH-CALL-3","","","MHHCALL3","","","","","","","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","","","","","CVCL_0089","MHHCALL3_926_2019","","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000032",""
"MHH-CALL-4","Lymphoid","MHH-CALL-4","MHH-CALL-4","","","","","MHH-CALL-4","","MHH-CALL-4","MHH-CALL-4","MHH-CALL-4","","MHHCALL4","","MHH-CALL-4","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1410","MHHCALL4_927_2019","MHH-CALL-4","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000156",""
"MHH-ES-1","Bone","MHH-ES-1","MHH-ES-1","","","MHH-ES-1","","","","MHH-ES-1","MHH-ES-1","MHH-ES-1","","MHHES1","MHH-ES-1","MHH-ES-1","","MHHES1_BONE","","bone","bone","","","Bone","","","bone","bone","","","bone","bone","Bone","bone","MHHES1","bone","","","","bone","","CVCL_1411","MHHES1_928_2019","MHH-ES-1","bone","Ewing sarcoma","Cancer cell line","TRUE","ACH-000391",""
"MHH-NB-11","Peripheral Nervous System","MHH-NB-11","MHH-NB-11","","","MHH-NB-11","","MHH-NB-11","","MHH-NB-11","MHH-NB-11","MHH-NB-11","","MHHNB11","MHH-NB-11","MHH-NB-11","","","","autonomic_ganglia","autonomic_ganglia","","","Brain","","autonomic_ganglia","autonomic_ganglia","nervous_system","","","autonomic_ganglia","autonomic_ganglia","","autonomic_ganglia","MHHNB11","autonomic_ganglia","","","","","","CVCL_1412","MHHNB11_929_2019","MHH-NB-11","autonomic_ganglia","Neuroblastoma","Cancer cell line","TRUE","ACH-000078",""
"MHH-PREB-1","Lymphoid","MHH-PREB-1","","MHHPREB1","","MHH-PREB-1","","MHH-PREB-1","MHH-PREB-1","","","MHH-PREB-1","","","MHH-PREB-1","MHH-PREB-1","","","MHHPREB1","haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","Lymph Node","","Blood","","blood","","","haematopoietic_and_lymphoid_tissue","","Lymphoid","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_1413","MHHPREB1_930_2019","MHH-PREB-1","haematopoietic_and_lymphoid_tissue","B-cell non-Hodgkin lymphoma","Cancer cell line",NA,"ACH-002272",""
"MHM","Bone","","","","","","","","MHM","","","","","","","","","","","","","","","","","","","","","","","","","bone","","","","","","","","CVCL_B426","MHM11282021_","","bone","Osteosarcoma","Cancer cell line",NA,"",""
"MIA PaCa-2","Pancreas","MIA-PaCa-2","MIA PaCa-2","MIAPACA2","","MIA Paca-2","","MIA-PaCa-2","","MIA_PaCa-2","MIA_PaCa-2","MIA-PaCa-2","","MIAPACA2","MIA Paca-2","MIA-PaCa-2","","MIAPACA2_PANCREAS","MIAPACA2","pancreas","pancreas","pancreas","","Pancreas","","Pancreas","pancreas","pancreas","","","pancreas","pancreas","Pancreas","pancreas","MIAPaCa2","pancreas","","","","pancreas","pancreas","CVCL_0428","MIAPaCa2_931_2019","MIA-PaCa-2","pancreas","Pancreatic ductal adenocarcinoma","Cancer cell line",NA,"ACH-000601",""
"MJ","Lymphoid","MJ","MJ","MJ","","","","","","MJ","MJ","","","MJ","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","","","","","CVCL_1414","MJ_933_2019","","haematopoietic_and_lymphoid_tissue","Cutaneous T-cell non-Hodgkin lymphoma","Cancer cell line",NA,"ACH-000077",""
"MKL-1","Skin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_2600","MKL-111312021_","","","","",NA,"ACH-001122",""
"MKL-1 subclone 2","Skin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_EQ71","MKL1subclone2_934_2019","","skin","Merkel cell carcinoma","Cancer cell line","TRUE","",""
"MKL-2","Skin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_D027","MKL2_935_2019","","skin","Merkel cell carcinoma","Cancer cell line",NA,"ACH-001123",""
"MKN1","Esophagus/Stomach","MKN1","MKN1","","","MKN-1","","MKN1","","MKN1","MKN1","MKN1","","MKN1","MKN-1","MKN1","","MKN1_STOMACH","MKN1","stomach","stomach","","","Stomach","","Stomach","stomach","digestive_system","","","stomach","stomach","Stomach","stomach","","","","","","gastric","stomach-oesophagus","CVCL_1415","MKN1_936_2019","MKN1","stomach","Gastric adenosquamous carcinoma","Cancer cell line","TRUE","ACH-000351",""
"MKN28","Esophagus/Stomach","MKN28","","","","","","MKN28","MKN28","","","MKN28","","","","MKN28","","","","stomach","","","","","","Stomach","","digestive_system","","","stomach","","","stomach","","","","","","","","CVCL_1416","MKN28_937_2019","MKN28","stomach","Gastric tubular adenocarcinoma","Cancer cell line","TRUE","ACH-002161",""
"MKN45","Esophagus/Stomach","MKN45","MKN-45","","","MKN-45","","MKN45","","MKN-45","MKN-45","MKN45","","MKN45","MKN-45","MKN45","","MKN45_STOMACH","MKN45","stomach","stomach","","","Stomach","","Stomach","stomach","digestive_system","","","stomach","stomach","Stomach","stomach","MKN45","stomach","","","","gastric","stomach-oesophagus","CVCL_0434","MKN45_938_2019","MKN45","stomach","Gastric adenocarcinoma","Cancer cell line","TRUE","ACH-000356",""
"MKN7","Esophagus/Stomach","MKN7","MKN7","","","MKN-7","MKN7","MKN7","","MKN7","MKN7","MKN7","","MKN7","MKN-7","MKN7","","MKN7_STOMACH","","stomach","stomach","","","Stomach","STOMACH","Stomach","stomach","digestive_system","","","stomach","stomach","","stomach","MKN7","stomach","","","","gastric","","CVCL_1417","MKN7_939_2019","MKN7","stomach","Gastric tubular adenocarcinoma","Cancer cell line","TRUE","ACH-000678",""
"MKN74","Esophagus/Stomach","","MKN74","","","MKN-74","MKN74","","","MKN74","MKN74","","","MKN74","MKN-74","","","MKN74_STOMACH","MKN74","","stomach","","","Stomach","STOMACH","","stomach","","","","stomach","stomach","Stomach","","MKN74","stomach","","","","gastric","stomach-oesophagus","CVCL_2791","MKN74_940_2019","","stomach","Gastric tubular adenocarcinoma","Cancer cell line","TRUE","ACH-000758",""
"ML-1 [Human thyroid carcinoma]","Thyroid","","ML-1","","","","","ML-1","","ML-1","ML-1","ML-1","","ML1","","ML-1","","","","","thyroid","","","","","Thyroid","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","thyroid","","haematopoietic_and_lymphoid_tissue","ML1","thyroid","","","","","","CVCL_H525","ML1_941_2019","ML-1","haematopoietic_and_lymphoid_tissue","Thyroid gland follicular carcinoma","Cancer cell line",NA,"ACH-000058",""
"ML-2","Myeloid","ML-2","","ML2","","ML-2","","ML-2","ML-2","","","ML-2","","","ML-2","ML-2","","","","haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","Bone Marrow","","Blood","","blood","","","haematopoietic_and_lymphoid_tissue","","Bone Marrow","haematopoietic_and_lymphoid_tissue","","","ML2","blood","","","","CVCL_1418","ML2_942_2019","ML-2","haematopoietic_and_lymphoid_tissue","Adult acute myeloid leukemia","Cancer cell line",NA,"ACH-002273",""
"MLI-019","","","","","","","","","","","","","","","","","MLI-019","","","","","","","","","","","","","","","","","","","","","","Non-Small Cell Lung Cancer","","","","MLI-01911412021_","","","","",NA,"",""
