GDSC.sampleid	GDSC.Sample_Name	CCLE.sampleid	GDSC.BROAD_ID	GDSC.RRID	CMP.model_id	CMP.sampleid	GDSC.COSMIC_ID	GDSC.Whole_Exome_Sequencing_(WES)	GDSC.Copy_Number_Alterations_(CNA)	GDSC.Gene_Expression	GDSC.Methylation	GDSC.DrugResponse	GDSC.Tissue_descriptor_1	GDSC.Tissuedescriptor_2	GDSC.Cancer_Type(matching_TCGA_label)	GDSC.Microsatellite_instability_Status_(MSI)	GDSC.Screen_Medium	GDSC.Growth_Properties	GDSC.tissue	GDSC.cancer_type	GDSC.cancer_type_ncit_id	GDSC.sample_site	GDSC.gender	GDSC.ethnicity	GDSC.age_at_sampling
SIG-M5	SIG-M5	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000112	CVCL_1694	SIDM00396	SIDS01156	909715	Y	Y	Y	Y	Y	leukemia	acute_myeloid_leukaemia	LAML	MSS/MSI-L	D/F12	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C9154	Bone marrow	Male	Unknown	63
SJRH30	SJRH30	SJRH30_SOFT_TISSUE	ACH-000833;ACH-001741;ACH-001189	CVCL_0041	SIDM01095	SIDS00358	909716	Y	Y	Y	Y	Y	soft_tissue	rhabdomyosarcoma	NA	MSS/MSI-L	R	Adherent	Soft Tissue	Rhabdomyosarcoma	C3749	Bone marrow	Male	White	17
SJSA-1	SJSA-1	SJSA1_BONE	ACH-000748	CVCL_1697	SIDM01112	SIDS00359	909717	Y	Y	Y	Y	Y	bone	bone_other	NA	MSS/MSI-L	R	Adherent	Bone	Osteosarcoma	C9145	Femur	Male	Black	19
SK-CO-1	SK-CO-1	SKCO1_LARGE_INTESTINE	ACH-000400	CVCL_0626	SIDM01096	SIDS00360	909718	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	R	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Ascites	Male	White	65
SK-HEP-1	SK-HEP-1	SKHEP1_LIVER	ACH-000361	CVCL_0525	SIDM01110	SIDS00362	909719	Y	Y	Y	Y	Y	digestive_system	liver	LIHC	MSS/MSI-L	D/F12	Adherent	Liver	Hepatocellular Carcinoma	C3099	Ascites	Male	White	52
SK-LMS-1	SK-LMS-1	SKLMS1_SOFT_TISSUE	ACH-000145	CVCL_0628	SIDM01109	SIDS00363	909720	Y	Y	Y	Y	Y	soft_tissue	soft_tissue_other	NA	MSS/MSI-L	D/F12	Adherent	Soft Tissue	Other Sarcomas	C40318	Vulva	Female	White	43
SK-LU-1	SK-LU-1	SKLU1_LUNG	ACH-000309	CVCL_0629	SIDM01108	SIDS00364	909721	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Female	White	60
SKM-1	SKM-1	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000373	CVCL_0098	SIDM00380	SIDS01061	909722	Y	Y	Y	Y	Y	leukemia	haematopoietic_neoplasm other	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C9154	Peripheral blood	Male	East Asian	76
SK-MEL-1	SK-MEL-1	SKMEL1_SKIN	ACH-000465	CVCL_0068	SIDM01107	SIDS00365	909723	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	D/F12	Suspension	Skin	Melanoma	C3224	Lymphatic system	Male	White	29
SK-MEL-3	SK-MEL-3	SKMEL3_SKIN	ACH-000423	CVCL_0550	SIDM01105	SIDS00367	909724	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Lymph node	Female	White	42
SK-MEL-24	SK-MEL-24	SKMEL24_SKIN	ACH-000822	CVCL_0599	SIDM01106	SIDS00366	909725	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	D/F12	Adherent	Skin	Melanoma	C3224	Lymph node	Male	White	67
SK-MEL-30	SK-MEL-30	SKMEL30_SKIN	ACH-000810	CVCL_0039	SIDM00392	SIDS01160	909726	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3510	Unknown	Male	White	67
SK-MEL-31	SK-MEL-31	SKMEL31_SKIN	ACH-000640	CVCL_0600	SIDM01104	SIDS00368	909727	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	D/F12	Adherent	Skin	Melanoma	C3224	Unknown	Female	Unknown	NA
SK-MES-1	SK-MES-1	SKMES1_LUNG	ACH-000665	CVCL_0630	SIDM01103	SIDS00369	909728	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_squamous_cell_carcinoma	LUSC	MSS/MSI-L	D/F12	Adherent	Lung	Squamous Cell Lung Carcinoma	C3493	Pleural effusion	Male	White	65
SK-MG-1	SK-MG-1	SKMG1_CENTRAL_NERVOUS_SYSTEM	ACH-002304	CVCL_1698	SIDM00379	SIDS01062	909729	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	R	Adherent	Central Nervous System	Glioma	C60781	Unknown	Unknown	Unknown	NA
SK-PN-DW	SK-PN-DW	SKPNDW_BONE	ACH-001193	CVCL_1703	SIDM01097	SIDS00375	909731	Y	Y	Y	Y	Y	bone	ewings_sarcoma	NA	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Other Solid Cancers	C3716	Retroperitoneal embroyonal tumour	Male	White	17
SK-UT-1	SK-UT-1	SKUT1_SOFT_TISSUE	ACH-000939	CVCL_0533	SIDM01113	SIDS00376	909732	Y	Y	Y	Y	Y	soft_tissue	soft_tissue_other	NA	MSI-H	D/F12	Adherent	Uterus	Other Sarcomas	C6340	Uterus	Female	White	75
SNG-M	SNG-M	SNGM_ENDOMETRIUM	ACH-000974	CVCL_1707	SIDM00373	SIDS01068	909735	Y	Y	Y	Y	Y	urogenital_system	endometrium	UCEC	MSI-H	D/F12	Adherent	Endometrium	Endometrial Carcinoma	C7359	Lymph node	Female	Unknown	52
SNU-387	SNU-387	SNU387_LIVER	ACH-000478	CVCL_0250	SIDM01180	SIDS00378	909736	Y	Y	Y	Y	Y	digestive_system	liver	LIHC	MSS/MSI-L	R	Adherent	Liver	Hepatocellular Carcinoma	C3099	Liver	Female	East Asian	41
SNU-423	SNU-423	SNU423_LIVER	ACH-000493	CVCL_0366	SIDM01199	SIDS00380	909737	Y	Y	Y	Y	Y	digestive_system	liver	LIHC	MSS/MSI-L	R	Adherent	Liver	Hepatocellular Carcinoma	C3099	Liver	Male	East Asian	40
SNU-449	SNU-449	SNU449_LIVER	ACH-000420	CVCL_0454	SIDM01194	SIDS00381	909738	Y	Y	Y	Y	Y	digestive_system	liver	LIHC	MSS/MSI-L	R	Adherent	Liver	Hepatocellular Carcinoma	C3099	Liver	Male	East Asian	52
SNU-475	SNU-475	SNU475_LIVER	ACH-000422	CVCL_0497	SIDM01196	SIDS00382	909739	Y	Y	Y	Y	Y	digestive_system	liver	LIHC	MSS/MSI-L	R	Adherent	Liver	Hepatocellular Carcinoma	C3099	Liver	Male	East Asian	43
SNU-C2B	SNU-C2B	SNUC2B_LARGE_INTESTINE	ACH-001199	CVCL_1710	SIDM00781	SIDS00046	909740	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSI-H	R	Adherent	Large Intestine	Colorectal Carcinoma	C5543	Cecum	Female	East Asian	43
SU-DHL-1	SU-DHL-1	SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000664	CVCL_0538	SIDM00390	SIDS01162	909742	Y	Y	Y	Y	Y	lymphoma	anaplastic_large_cell_lymphoma	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	C3720	Pleural effusion	Male	Unknown	10
SUP-T1	SUP-T1	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000953	CVCL_1714	SIDM01154	SIDS00388	909743	Y	Y	Y	Y	Y	leukemia	lymphoblastic_T_cell_leukaemia	ALL	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	C7210	Pleural effusion	Male	White	8
SW13	SW13	SW13_ADRENAL_CORTEX	ACH-001401	CVCL_0542	SIDM00814	SIDS00013	909744	Y	Y	Y	Y	Y	kidney	adrenal_gland	ACC	MSS/MSI-L	D/F12	Adherent	Adrenal Gland	Other Solid Cancers	C9325	Adrenal Cortex	Female	White	55
SW1088	SW1088	SW1088_CENTRAL_NERVOUS_SYSTEM	ACH-000437	CVCL_1715	SIDM01155	SIDS00389	909745	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioma	C60781	Brain	Male	White	72
SW1116	SW1116	SW1116_LARGE_INTESTINE	ACH-000489	CVCL_0544	SIDM00835	SIDS00030	909746	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Colon	Male	White	73
SW1417	SW1417	SW1417_LARGE_INTESTINE	ACH-000236	CVCL_1717	SIDM00812	SIDS00034	909747	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Colon	Female	White	53
SW1463	SW1463	SW1463_LARGE_INTESTINE	ACH-000470	CVCL_1718	SIDM00834	SIDS00031	909748	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C9383	Rectum	Female	White	66
SW1710	SW1710	SW1710_URINARY_TRACT	ACH-000566	CVCL_1721	SIDM00420	SIDS01171	909749	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Unknown	Female	White	84
SW1783	SW1783	SW1783_CENTRAL_NERVOUS_SYSTEM	ACH-000883	CVCL_1722	SIDM01164	SIDS00393	909750	Y	Y	Y	Y	Y	nervous_system	glioma	LGG	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioma	C9477	Unknown	Male	White	68
SW48	SW48	SW48_LARGE_INTESTINE	ACH-000958	CVCL_1724	SIDM00837	SIDS00028	909751	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSI-H	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Colon	Female	White	82
SW626	SW626	SW626_OVARY	ACH-001399	CVCL_1725	SIDM01168	SIDS00396	909753	Y	Y	Y	Y	Y	urogenital_system	ovary	OV	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Ovary	Female	White	46
SW684	SW684	SW684_SOFT_TISSUE	ACH-002309	CVCL_1726	SIDM01175	SIDS00397	909754	Y	Y	Y	Y	Y	soft_tissue	fibrosarcoma	NA	MSS/MSI-L	D/F12	Adherent	Soft Tissue	Other Sarcomas	C3043	Connective tissue	Male	White	68
SW837	SW837	SW837_LARGE_INTESTINE	ACH-000421	CVCL_1729	SIDM00833	SIDS00032	909755	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C9383	Rectum	Male	White	53
SW872	SW872	SW872_SOFT_TISSUE	ACH-002310	CVCL_1730	SIDM01159	SIDS00400	909756	Y	Y	Y	Y	Y	soft_tissue	soft_tissue_other	NA	MSS/MSI-L	D/F12	Adherent	Soft Tissue	Other Sarcomas	C3194	Connective tissue	Male	White	36
SW948	SW948	SW948_LARGE_INTESTINE	ACH-000680	CVCL_0632	SIDM00832	SIDS00033	909757	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Colon	Female	White	81
SW962	SW962	SW962_VULVA	ACH-002200	CVCL_1733	SIDM01178	SIDS00403	909758	Y	Y	Y	Y	Y	urogenital_system	urogenital_system_other	NA	MSS/MSI-L	D/F12	Adherent	Vulva	Other Solid Cancers	C4866	Lymph node	Female	White	64
SW982	SW982	SW982_SOFT_TISSUE	ACH-001274	CVCL_1734	SIDM01161	SIDS00404	909759	Y	Y	Y	Y	Y	soft_tissue	soft_tissue_other	NA	MSS/MSI-L	D/F12	Adherent	Soft Tissue	Other Sarcomas	C3400	Synovium	Female	White	25
T84	T84	T84_LARGE_INTESTINE	ACH-000381	CVCL_0555	SIDM00782	SIDS00045	909761	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Lung	Male	Unknown	72
TALL-1	TALL-1	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000197	CVCL_1736	SIDM00370	SIDS01071	909762	Y	Y	N	N	Y	leukemia	lymphoblastic_T_cell_leukaemia	ALL	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	C9142	Bone marrow	Male	Unknown	28
TGBC1TKB	TGBC1TKB	TGBC1TKB_BILIARY_TRACT	ACH-001861	CVCL_1769	SIDM00252	SIDS00708	909769	Y	Y	Y	Y	Y	digestive_system	biliary_tract	NA	MSS/MSI-L	D/F12	Adherent	Biliary Tract	Biliary Tract Carcinoma	C9167	Lymph Node	Female	East Asian	NA
TGBC11TKB	TGBC11TKB	TGBC11TKB_STOMACH	ACH-000949	CVCL_1768	SIDM00251	SIDS00707	909770	Y	Y	Y	Y	Y	digestive_system	stomach	STAD	MSI-H	D/F12	Adherent	Stomach	Gastric Carcinoma	C4911	Lymph Node	Female	East Asian	72
THP-1	THP-1	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000146	CVCL_0006	SIDM01172	SIDS00410	909771	Y	Y	Y	Y	Y	leukemia	acute_myeloid_leukaemia	LAML	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C9163	Peripheral blood	Male	Unknown	1
TUR	TUR	TUR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002314	CVCL_1775	SIDM01205	SIDS00413	909773	Y	Y	Y	Y	Y	lymphoma	B_cell_lymphoma	DLBC	MSI-H	R	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C8263	Unknown	Male	White	37
TYK-NU	TYK-nu	TYKNU_OVARY	ACH-000430	CVCL_1776	SIDM00321	SIDS01082	909774	Y	Y	Y	Y	Y	urogenital_system	ovary	UNABLE TO CLASSIFY	MSS/MSI-L	D/F12	Adherent	Ovary	Ovarian Carcinoma	C105555	Unknown	Unknown	Unknown	NA
U-2-OS	U-2-OS	U2OS_BONE	ACH-000364	CVCL_0042	SIDM01191	SIDS00416	909776	Y	Y	Y	Y	Y	bone	osteosarcoma	NA	MSS/MSI-L	R	Adherent	Bone	Osteosarcoma	C9145	Tibia	Female	White	15
U-698-M	U-698-M	U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001680	CVCL_0017	SIDM00424	SIDS01175	909777	Y	Y	Y	Y	Y	leukemia	B_cell_leukemia	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	C9360	Tonsil	Male	Unknown	7
UACC-893	UACC-893	UACC893_BREAST	ACH-000554	CVCL_1782	SIDM01186	SIDS00419	909778	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	D/F12	Adherent	Breast	Breast Carcinoma	C4194	Mammary gland	Female	White	57
UMC-11	UMC-11	UMC11_LUNG	ACH-001417	CVCL_1784	SIDM01183	SIDS00421	909779	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_carcinoid	NA	MSS/MSI-L	D/F12	Adherent	Lung	Other Solid Cancers	C4038	Unknown	Unknown	Unknown	NA
VM-CUB-1	VM-CUB-1	VMCUB1_URINARY_TRACT	ACH-000545	CVCL_1786	SIDM00414	SIDS01177	909780	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Unknown	Male	Unknown	NA
VMRC-RCZ	VMRC-RCZ	VMRCRCZ_KIDNEY	ACH-000171	CVCL_1791	SIDM00317	SIDS01086	909781	Y	Y	Y	Y	Y	kidney	kidney	KIRC	MSS/MSI-L	D/F12	Adherent	Kidney	Kidney Carcinoma	C9385	Unknown	Unknown	Unknown	NA
WM-115	WM-115	WM115_SKIN	ACH-000304	CVCL_0040	SIDM01000	SIDS00427	909784	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	D/F12	Adherent	Skin	Melanoma	C3224	Unknown	Female	Unknown	55
WSU-NHL	WSU-NHL	WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001709	CVCL_1793	SIDM00412	SIDS01179	909785	Y	Y	Y	Y	Y	lymphoma	lymphoid_neoplasm other	NA	MSI-H	R	Suspension	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	C3209	Pleural effusion	Female	Unknown	46
YAPC	YAPC	YAPC_PANCREAS	ACH-000332	CVCL_1794	SIDM00411	SIDS01180	909904	Y	Y	Y	Y	Y	pancreas	pancreas	PAAD	MSS/MSI-L	R	Adherent	Pancreas	Pancreatic Carcinoma	C3850	Ascites	Male	East Asian	43
YH-13	YH-13	YH13_CENTRAL_NERVOUS_SYSTEM	ACH-000469	CVCL_1795	SIDM00316	SIDS01087	909905	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Unknown	Male	Unknown	40
ZR-75-30	ZR-75-30	ZR7530_BREAST	ACH-000828	CVCL_1661	SIDM00971	SIDS00436	909907	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	R	Adherent	Breast	Breast Carcinoma	C4194	Ascites	Female	Black	47
RCC10RGB	RCC10RGB	RCC10RGB_KIDNEY	ACH-000189	CVCL_1647	SIDM00235	SIDS00703	909974	Y	Y	Y	Y	Y	kidney	kidney	KIRC	MSS/MSI-L	D/F12	Adherent	Kidney	Kidney Carcinoma	C9385	Unknown	Male	East Asian	NA
KURAMOCHI	KURAMOCHI	KURAMOCHI_OVARY	ACH-000524	CVCL_1345	SIDM00554	SIDS01004	909975	Y	Y	Y	Y	Y	urogenital_system	ovary	UNABLE TO CLASSIFY	MSS/MSI-L	R	Adherent	Ovary	Ovarian Carcinoma	C105555	Ascites	Female	East Asian	NA
KM-H2	KM-H2	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000815	CVCL_1330	SIDM01018	SIDS00554	909976	Y	Y	Y	Y	Y	lymphoma	Hodgkin_lymphoma	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	C9357	Pleural effusion	Male	Unknown	37
HUO-3N1	HuO-3N1	HUO3N1_BONE	ACH-002142	CVCL_1297	SIDM00584	SIDS00974	909977	Y	Y	Y	Y	Y	bone	osteosarcoma	NA	MSS/MSI-L	R	Adherent	Bone	Osteosarcoma	C9145	Ilium	Female	Unknown	15
OE19	OE19	OE19_OESOPHAGUS	ACH-000679	CVCL_1622	SIDM00479	SIDS00923	910079	Y	Y	Y	Y	Y	aero_dig_tract	oesophagus	ESCA	MSS/MSI-L	R	Adherent	Esophagus	Esophageal Carcinoma	C4025	Esophagus	Male	White	72
SUP-B8	SUP-B8	SUPB8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002308	CVCL_1713	SIDM01177	SIDS00387	910209	Y	Y	Y	Y	Y	leukemia	B_cell_leukemia	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	C9140	Bone Marrow	Female	Unknown	15
NCI-H838	NCI-H838	NCIH838_LUNG	ACH-000416	CVCL_1594	SIDM01150	SIDS00321	910399	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Lymph node	Male	White	59
RAMOS-2G6-4C10	Ramos-2G6-4C10	RAMOS2G64C10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002300	CVCL_1646	SIDM01247	SIDS00341	910401	Y	Y	Y	Y	Y	lymphoma	Burkitt_lymphoma	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Burkitt's Lymphoma	C2912	Unknown	Male	White	3
RPMI-8866	RPMI-8866	RPMI8866_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002302	CVCL_1668	SIDM00482	SIDS00936	910544	Y	Y	Y	Y	Y	leukemia	chronic_myeloid_leukaemia	LCML	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	C3174	Peripheral blood	Female	Unknown	51
QIMR-WIL	QIMR-WIL	QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002299	CVCL_1645	SIDM00467	SIDS00935	910545	Y	Y	Y	Y	Y	leukemia	acute_myeloid_leukaemia	LAML	MSS/MSI-L	D/F12	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C3171	Peripheral blood	Unknown	Unknown	NA
PSN1	PSN1	PSN1_PANCREAS	ACH-000320	CVCL_1644	SIDM00469	SIDS00933	910546	Y	Y	Y	Y	Y	pancreas	pancreas	PAAD	MSS/MSI-L	R	Adherent	Pancreas	Pancreatic Carcinoma	C8294	Pancreas	Unknown	Unknown	NA
OAW-42	OAW-42	OAW42_OVARY	ACH-000704	CVCL_1615	SIDM00480	SIDS00922	910548	Y	Y	Y	Y	Y	urogenital_system	ovary	OV	MSS/MSI-L	D/F12	Adherent	Ovary	Ovarian Carcinoma	C7978	Ascites	Female	Unknown	NA
OE33	OE33	OE33_OESOPHAGUS	ACH-000383	CVCL_0471	SIDM00477	SIDS00925	910549	Y	Y	Y	Y	Y	aero_dig_tract	oesophagus	ESCA	MSS/MSI-L	R	Adherent	Esophagus	Esophageal Carcinoma	C7027	Esophagus	Female	White	73
CW-2	CW-2	CW2_LARGE_INTESTINE	ACH-000998	CVCL_1151	SIDM00282	SIDS00657	910554	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSI-H	R	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Unknown	Female	East Asian	55
CMK	CMK	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000641	CVCL_0216	SIDM00959	SIDS00485	910566	Y	Y	Y	N	Y	leukemia	acute_myeloid_leukaemia	LAML	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C7972	Peripheral Blood	Male	Unknown	0.83
CHP-126	CHP-126	CHP126_AUTONOMIC_GANGLIA	ACH-000136	CVCL_1123	SIDM00286	SIDS00653	910567	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	R	Suspension	Peripheral Nervous System	Neuroblastoma	C3270	Unknown	Female	Unknown	1.17
CGTH-W-1	CGTH-W-1	CGTHW1_THYROID	ACH-001023	CVCL_1120	SIDM01248	SIDS00395	910568	Y	Y	Y	Y	Y	thyroid	thyroid	THCA	MSS/MSI-L	R	Adherent	Thyroid	Thyroid Gland Carcinoma	C46008	Unknown	Male	White	59
COLO-320-HSR	COLO-320-HSR			CVCL_0220	SIDM00842	SIDS00023	910569	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	R	Suspension	Large Intestine	Colorectal Carcinoma	C4349	Unknown	Female	White	55
ATN-1	ATN-1	ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002058	CVCL_1073	SIDM00233	SIDS00651	910687	Y	Y	Y	Y	Y	leukemia	lymphoblastic_T_cell_leukaemia	ALL	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	C9142	Unknown	Male	Unknown	47
CESS	CESS	CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002218	CVCL_0209	SIDM00917	SIDS00100	910688	Y	Y	Y	Y	Y	leukemia	acute_myeloid_leukaemia	LAML	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C3171	Blood	Male	White	NA
COLO-678	COLO-678	COLO678_LARGE_INTESTINE	ACH-000350	CVCL_1129	SIDM00957	SIDS00487	910689	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	R	Semi-Adherent	Large Intestine	Colorectal Carcinoma	C4910	Lymph node	Male	Unknown	69
COLO-684	COLO-684	COLO684_ENDOMETRIUM	ACH-000864	CVCL_1132	SIDM00142	SIDS00834	910691	Y	Y	Y	Y	Y	urogenital_system	endometrium	UCEC	MSI-H	R	Suspension	Endometrium	Endometrial Carcinoma	C7359	Unknown	Female	Unknown	63
COLO-668	COLO-668	COLO668_LUNG	ACH-000803	CVCL_1128	SIDM00143	SIDS00833	910692	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Adherent	Lung	Small Cell Lung Carcinoma	C4917	Brain	Female	Unknown	47
LN-405	LN-405	LN405_CENTRAL_NERVOUS_SYSTEM	ACH-002268	CVCL_1378	SIDM00343	SIDS01098	910694	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Unknown	Female	Unknown	62
TGBC24TKB	TGBC24TKB	TGBC24TKB_BILIARY_TRACT	ACH-002312	CVCL_1770	SIDM00267	SIDS00710	910695	Y	Y	Y	Y	Y	digestive_system	biliary_tract	NA	MSS/MSI-L	D/F12	Adherent	Biliary Tract	Biliary Tract Carcinoma	C3844	Ascites	Female	East Asian	NA
A388	A388	A388_SKIN	ACH-001442	CVCL_1063	SIDM00794	SIDS00070	910697	Y	Y	Y	Y	Y	skin	skin_other	NA	MSS/MSI-L	D/F12	Adherent	Skin	Other Solid Cancers	C4819	Lymph node	Male	Unknown	86
BFTC-909	BFTC-909	BFTC909_KIDNEY	ACH-000792	CVCL_1084	SIDM00988	SIDS00457	910698	Y	Y	Y	Y	Y	kidney	kidney	KIRC	MSS/MSI-L	D/F12	Adherent	Kidney	Kidney Carcinoma	C7355	Renal pelvis	Male	Unknown	64
C2BBE1	C2BBe1	C2BBE1_LARGE_INTESTINE	ACH-000009	CVCL_1096	SIDM01233	SIDS00087	910700	Y	Y	Y	Y	Y	large_intestine	large_intestine	COAD/READ	MSS/MSI-L	D/F12	Adherent	Large Intestine	Colorectal Carcinoma	C4349	Colon	Male	White	72
SCC-25	SCC-25	SCC25_UPPER_AERODIGESTIVE_TRACT	ACH-000188	CVCL_1682	SIDM01082	SIDS00352	910701	Y	Y	Y	Y	Y	aero_dig_tract	head and neck	HNSC	MSS/MSI-L	D/F12	Adherent	Head and Neck	Oral Cavity Carcinoma	C4648	Tongue	Male	Unknown	70
ASPC-1	AsPC-1	ASPC1_PANCREAS	ACH-000222	CVCL_0152	SIDM00899	SIDS00079	910702	Y	Y	Y	Y	Y	pancreas	pancreas	PAAD	MSS/MSI-L	R	Adherent	Pancreas	Pancreatic Carcinoma	C9120	Ascites	Female	White	62
