Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[tissue supergroup]	Characteristics[metatastic tissue]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Unit [age unit]	Characteristics[sex]	Characteristics[ethnicity]	Characteristics[media]	Characteristics[freeze media]	Comment[ENA_ALIAS]	Protocol REF	Extract Name	Comment[NOMINAL_LENGTH]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_SDEV]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
Sample 352	ERS395351	cell	Homo sapiens	NCBI Taxonomy	9606	G84	brain	not applicable	brain	glioma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636034	P-MTAB-39822	ERS395351 extract	230	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379813	sequencing assay	ERX379813	ERR413508_2	ERR413508	G84	brain	glioma
Sample 353	ERS395352	cell	Homo sapiens	NCBI Taxonomy	9606	G96	brain	not applicable	brain	glioma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	636035	P-MTAB-39822	ERS395352 extract	212	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379814	sequencing assay	ERX379814	ERR413509_1	ERR413509	G96	brain	glioma
Sample 353	ERS395352	cell	Homo sapiens	NCBI Taxonomy	9606	G96	brain	not applicable	brain	glioma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	636035	P-MTAB-39822	ERS395352 extract	212	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379814	sequencing assay	ERX379814	ERR413509_2	ERR413509	G96	brain	glioma
Sample 354	ERS395753	cell	Homo sapiens	NCBI Taxonomy	9606	SF268	brain	not applicable	brain	glioma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	636036	P-MTAB-39822	ERS395753 extract	296	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380215	sequencing assay	ERX380215	ERR413910_1	ERR413910	SF268	brain	glioma
Sample 354	ERS395753	cell	Homo sapiens	NCBI Taxonomy	9606	SF268	brain	not applicable	brain	glioma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	636036	P-MTAB-39822	ERS395753 extract	296	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380215	sequencing assay	ERX380215	ERR413910_2	ERR413910	SF268	brain	glioma
Sample 355	ERS395754	cell	Homo sapiens	NCBI Taxonomy	9606	SF539	brain	not applicable	brain	glioma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	636037	P-MTAB-39822	ERS395754 extract	232	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380216	sequencing assay	ERX380216	ERR413911_1	ERR413911	SF539	brain	glioma
Sample 355	ERS395754	cell	Homo sapiens	NCBI Taxonomy	9606	SF539	brain	not applicable	brain	glioma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	636037	P-MTAB-39822	ERS395754 extract	232	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380216	sequencing assay	ERX380216	ERR413911_2	ERR413911	SF539	brain	glioma
Sample 356	ERS395387	cell	Homo sapiens	NCBI Taxonomy	9606	HCC2157	breast	not applicable	breast	breast ductal adenocarcinoma	48	year	female	African	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	636038	P-MTAB-39822	ERS395387 extract	215	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379849	sequencing assay	ERX379849	ERR413544_1	ERR413544	HCC2157	breast	breast ductal adenocarcinoma
Sample 356	ERS395387	cell	Homo sapiens	NCBI Taxonomy	9606	HCC2157	breast	not applicable	breast	breast ductal adenocarcinoma	48	year	female	African	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	636038	P-MTAB-39822	ERS395387 extract	215	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379849	sequencing assay	ERX379849	ERR413544_2	ERR413544	HCC2157	breast	breast ductal adenocarcinoma
Sample 357	ERS395825	cell	Homo sapiens	NCBI Taxonomy	9606	SW 982	breast	not applicable	breast	breast synovial sarcoma	25	year	female	Caucasian	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636039	P-MTAB-39822	ERS395825 extract	229	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380287	sequencing assay	ERX380287	ERR413982_1	ERR413982	SW 982	breast	breast synovial sarcoma
Sample 357	ERS395825	cell	Homo sapiens	NCBI Taxonomy	9606	SW 982	breast	not applicable	breast	breast synovial sarcoma	25	year	female	Caucasian	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636039	P-MTAB-39822	ERS395825 extract	229	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380287	sequencing assay	ERX380287	ERR413982_2	ERR413982	SW 982	breast	breast synovial sarcoma
Sample 358	ERS395238	cell	Homo sapiens	NCBI Taxonomy	9606	Ca Ski	uterine cervix	not applicable	uterine cervix	cervical carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636040	P-MTAB-39822	ERS395238 extract	222	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379701	sequencing assay	ERX379701	ERR413396_1	ERR413396	Ca Ski	uterine cervix	cervical carcinoma
Sample 358	ERS395238	cell	Homo sapiens	NCBI Taxonomy	9606	Ca Ski	uterine cervix	not applicable	uterine cervix	cervical carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636040	P-MTAB-39822	ERS395238 extract	222	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379701	sequencing assay	ERX379701	ERR413396_2	ERR413396	Ca Ski	uterine cervix	cervical carcinoma
Sample 359	ERS395756	cell	Homo sapiens	NCBI Taxonomy	9606	SiHa	uterine cervix	not applicable	uterine cervix	cervical squamous cell carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636041	P-MTAB-39822	ERS395756 extract	322	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380218	sequencing assay	ERX380218	ERR413913_1	ERR413913	SiHa	uterine cervix	cervical squamous cell carcinoma
Sample 359	ERS395756	cell	Homo sapiens	NCBI Taxonomy	9606	SiHa	uterine cervix	not applicable	uterine cervix	cervical squamous cell carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636041	P-MTAB-39822	ERS395756 extract	322	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380218	sequencing assay	ERX380218	ERR413913_2	ERR413913	SiHa	uterine cervix	cervical squamous cell carcinoma
Sample 360	ERS395268	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 205	colo-rectal	ascites	colon	colon adenocarcinoma	70	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636043	P-MTAB-39822	ERS395268 extract	284	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379731	sequencing assay	ERX379731	ERR413426_1	ERR413426	COLO 205	colon	colon adenocarcinoma
Sample 360	ERS395268	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 205	colo-rectal	ascites	colon	colon adenocarcinoma	70	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636043	P-MTAB-39822	ERS395268 extract	284	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379731	sequencing assay	ERX379731	ERR413426_2	ERR413426	COLO 205	colon	colon adenocarcinoma
Sample 361	ERS395269	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 206F	colo-rectal	not applicable	colon	colon adenocarcinoma	70	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636044	P-MTAB-39822	ERS395269 extract	296	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379732	sequencing assay	ERX379732	ERR413427_1	ERR413427	COLO 206F	colon	colon adenocarcinoma
Sample 361	ERS395269	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 206F	colo-rectal	not applicable	colon	colon adenocarcinoma	70	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636044	P-MTAB-39822	ERS395269 extract	296	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379732	sequencing assay	ERX379732	ERR413427_2	ERR413427	COLO 206F	colon	colon adenocarcinoma
Sample 362	ERS395412	cell	Homo sapiens	NCBI Taxonomy	9606	HCT 116	colo-rectal	not applicable	colon	colon carcinoma	not available	  	male	not available	McCoys 5A,  10% FBS, 2mM L-glutamine	50% FBS, 40% media, 10% DMSO	636045	P-MTAB-39822	ERS395412 extract	249	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379874	sequencing assay	ERX379874	ERR413569_1	ERR413569	HCT 116	colon	colon carcinoma
Sample 362	ERS395412	cell	Homo sapiens	NCBI Taxonomy	9606	HCT 116	colo-rectal	not applicable	colon	colon carcinoma	not available	  	male	not available	McCoys 5A,  10% FBS, 2mM L-glutamine	50% FBS, 40% media, 10% DMSO	636045	P-MTAB-39822	ERS395412 extract	249	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379874	sequencing assay	ERX379874	ERR413569_2	ERR413569	HCT 116	colon	colon carcinoma
Sample 363	ERS395423	cell	Homo sapiens	NCBI Taxonomy	9606	HM7	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	636046	P-MTAB-39822	ERS395423 extract	239	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379885	sequencing assay	ERX379885	ERR413580_1	ERR413580	HM7	colon	colon adenocarcinoma
Sample 363	ERS395423	cell	Homo sapiens	NCBI Taxonomy	9606	HM7	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	636046	P-MTAB-39822	ERS395423 extract	239	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379885	sequencing assay	ERX379885	ERR413580_2	ERR413580	HM7	colon	colon adenocarcinoma
Sample 364	ERS395525	cell	Homo sapiens	NCBI Taxonomy	9606	LS 174T	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636048	P-MTAB-39822	ERS395525 extract	244	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379987	sequencing assay	ERX379987	ERR413682_1	ERR413682	LS 174T	colon	colon adenocarcinoma
Sample 364	ERS395525	cell	Homo sapiens	NCBI Taxonomy	9606	LS 174T	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636048	P-MTAB-39822	ERS395525 extract	244	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379987	sequencing assay	ERX379987	ERR413682_2	ERR413682	LS 174T	colon	colon adenocarcinoma
Sample 365	ERS395813	cell	Homo sapiens	NCBI Taxonomy	9606	SW 1463	colo-rectal	not applicable	colon	colon adenocarcinoma	66	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% Complete Growth Media, 10% DMSO	636049	P-MTAB-39822	ERS395813 extract	312	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380275	sequencing assay	ERX380275	ERR413970_1	ERR413970	SW 1463	colon	colon adenocarcinoma
Sample 365	ERS395813	cell	Homo sapiens	NCBI Taxonomy	9606	SW 1463	colo-rectal	not applicable	colon	colon adenocarcinoma	66	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% Complete Growth Media, 10% DMSO	636049	P-MTAB-39822	ERS395813 extract	312	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380275	sequencing assay	ERX380275	ERR413970_2	ERR413970	SW 1463	colon	colon adenocarcinoma
Sample 366	ERS395817	cell	Homo sapiens	NCBI Taxonomy	9606	SW 48	colo-rectal	not applicable	colon	colon adenocarcinoma	82	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636050	P-MTAB-39822	ERS395817 extract	302	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380279	sequencing assay	ERX380279	ERR413974_1	ERR413974	SW 48	colon	colon adenocarcinoma
Sample 366	ERS395817	cell	Homo sapiens	NCBI Taxonomy	9606	SW 48	colo-rectal	not applicable	colon	colon adenocarcinoma	82	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636050	P-MTAB-39822	ERS395817 extract	302	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380279	sequencing assay	ERX380279	ERR413974_2	ERR413974	SW 48	colon	colon adenocarcinoma
Sample 367	ERS395818	cell	Homo sapiens	NCBI Taxonomy	9606	SW 480	colo-rectal	not applicable	colon	colon adenocarcinoma	50	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	636051	P-MTAB-39822	ERS395818 extract	262	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380280	sequencing assay	ERX380280	ERR413975_1	ERR413975	SW 480	colon	colon adenocarcinoma
Sample 367	ERS395818	cell	Homo sapiens	NCBI Taxonomy	9606	SW 480	colo-rectal	not applicable	colon	colon adenocarcinoma	50	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	636051	P-MTAB-39822	ERS395818 extract	262	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380280	sequencing assay	ERX380280	ERR413975_2	ERR413975	SW 480	colon	colon adenocarcinoma
Sample 368	ERS395204	cell	Homo sapiens	NCBI Taxonomy	9606	A-673	sarcomatiod	not applicable	skeletal muscle tissue	rhabdomyosarcoma	15	year	female	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636052	P-MTAB-39822	ERS395204 extract	267	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379667	sequencing assay	ERX379667	ERR413362_1	ERR413362	A-673	skeletal muscle tissue	rhabdomyosarcoma
Sample 368	ERS395204	cell	Homo sapiens	NCBI Taxonomy	9606	A-673	sarcomatiod	not applicable	skeletal muscle tissue	rhabdomyosarcoma	15	year	female	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636052	P-MTAB-39822	ERS395204 extract	267	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379667	sequencing assay	ERX379667	ERR413362_2	ERR413362	A-673	skeletal muscle tissue	rhabdomyosarcoma
Sample 369	ERS395222	cell	Homo sapiens	NCBI Taxonomy	9606	BICR 10	head-neck	not applicable	oral cavity	oral cavity squamous cell carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636053	P-MTAB-39822	ERS395222 extract	228	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379685	sequencing assay	ERX379685	ERR413380_1	ERR413380	BICR 10	oral cavity	oral cavity squamous cell carcinoma
Sample 369	ERS395222	cell	Homo sapiens	NCBI Taxonomy	9606	BICR 10	head-neck	not applicable	oral cavity	oral cavity squamous cell carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636053	P-MTAB-39822	ERS395222 extract	228	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379685	sequencing assay	ERX379685	ERR413380_2	ERR413380	BICR 10	oral cavity	oral cavity squamous cell carcinoma
Sample 370	ERS395304	cell	Homo sapiens	NCBI Taxonomy	9606	Detroit 562	head-neck	not applicable	chordate pharynx	nasopharyngeal carcinoma	not available	  	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; DMSO, 10%	636054	P-MTAB-39822	ERS395304 extract	319	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379766	sequencing assay	ERX379766	ERR413461_1	ERR413461	Detroit 562	chordate pharynx	nasopharyngeal carcinoma
Sample 370	ERS395304	cell	Homo sapiens	NCBI Taxonomy	9606	Detroit 562	head-neck	not applicable	chordate pharynx	nasopharyngeal carcinoma	not available	  	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; DMSO, 10%	636054	P-MTAB-39822	ERS395304 extract	319	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379766	sequencing assay	ERX379766	ERR413461_2	ERR413461	Detroit 562	chordate pharynx	nasopharyngeal carcinoma
Sample 371	ERS395821	cell	Homo sapiens	NCBI Taxonomy	9606	SW 780	urinary bladder	not applicable	urinary bladder	urinary bladder transitional cell carcinoma	80	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636055	P-MTAB-39822	ERS395821 extract	298	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380283	sequencing assay	ERX380283	ERR413978_1	ERR413978	SW 780	urinary bladder	urinary bladder transitional cell carcinoma
Sample 371	ERS395821	cell	Homo sapiens	NCBI Taxonomy	9606	SW 780	urinary bladder	not applicable	urinary bladder	urinary bladder transitional cell carcinoma	80	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636055	P-MTAB-39822	ERS395821 extract	298	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380283	sequencing assay	ERX380283	ERR413978_2	ERR413978	SW 780	urinary bladder	urinary bladder transitional cell carcinoma
Sample 372	ERS395197	cell	Homo sapiens	NCBI Taxonomy	9606	769-P	kidney	not applicable	kidney	renal adenocarcinoma	63	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636056	P-MTAB-39822	ERS395197 extract	262	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379660	sequencing assay	ERX379660	ERR413355_1	ERR413355	769-P	kidney	renal adenocarcinoma
Sample 372	ERS395197	cell	Homo sapiens	NCBI Taxonomy	9606	769-P	kidney	not applicable	kidney	renal adenocarcinoma	63	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636056	P-MTAB-39822	ERS395197 extract	262	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379660	sequencing assay	ERX379660	ERR413355_2	ERR413355	769-P	kidney	renal adenocarcinoma
Sample 373	ERS395198	cell	Homo sapiens	NCBI Taxonomy	9606	786-O	kidney	not applicable	kidney	renal adenocarcinoma	58	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636057	P-MTAB-39822	ERS395198 extract	246	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379661	sequencing assay	ERX379661	ERR413356_1	ERR413356	786-O	kidney	renal adenocarcinoma
Sample 373	ERS395198	cell	Homo sapiens	NCBI Taxonomy	9606	786-O	kidney	not applicable	kidney	renal adenocarcinoma	58	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636057	P-MTAB-39822	ERS395198 extract	246	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379661	sequencing assay	ERX379661	ERR413356_2	ERR413356	786-O	kidney	renal adenocarcinoma
Sample 374	ERS395242	cell	Homo sapiens	NCBI Taxonomy	9606	Caki-2	kidney	not applicable	kidney	renal carcinoma	69	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	636058	P-MTAB-39822	ERS395242 extract	232	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379705	sequencing assay	ERX379705	ERR413400_1	ERR413400	Caki-2	kidney	renal carcinoma
Sample 374	ERS395242	cell	Homo sapiens	NCBI Taxonomy	9606	Caki-2	kidney	not applicable	kidney	renal carcinoma	69	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	636058	P-MTAB-39822	ERS395242 extract	232	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379705	sequencing assay	ERX379705	ERR413400_2	ERR413400	Caki-2	kidney	renal carcinoma
Sample 375	ERS395833	cell	Homo sapiens	NCBI Taxonomy	9606	TK-10	kidney	not applicable	kidney	renal carcinoma	46	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636059	P-MTAB-39822	ERS395833 extract	248	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380295	sequencing assay	ERX380295	ERR413990_1	ERR413990	TK-10	kidney	renal carcinoma
Sample 375	ERS395833	cell	Homo sapiens	NCBI Taxonomy	9606	TK-10	kidney	not applicable	kidney	renal carcinoma	46	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636059	P-MTAB-39822	ERS395833 extract	248	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380295	sequencing assay	ERX380295	ERR413990_2	ERR413990	TK-10	kidney	renal carcinoma
Sample 376	ERS395454	cell	Homo sapiens	NCBI Taxonomy	9606	HuH-7	liver	not applicable	liver	hepatocellular carcinoma	57	year	male	Japanese	RPMI-1640, 10% FBS, 2mM L-Glutamine 	90% FBS; 10% DMSO	636060	P-MTAB-39822	ERS395454 extract	234	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379916	sequencing assay	ERX379916	ERR413611_1	ERR413611	HuH-7	liver	hepatocellular carcinoma
Sample 376	ERS395454	cell	Homo sapiens	NCBI Taxonomy	9606	HuH-7	liver	not applicable	liver	hepatocellular carcinoma	57	year	male	Japanese	RPMI-1640, 10% FBS, 2mM L-Glutamine 	90% FBS; 10% DMSO	636060	P-MTAB-39822	ERS395454 extract	234	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379916	sequencing assay	ERX379916	ERR413611_2	ERR413611	HuH-7	liver	hepatocellular carcinoma
Sample 377	ERS395465	cell	Homo sapiens	NCBI Taxonomy	9606	JHH-2	liver	not applicable	liver	hepatocellular carcinoma	not available	  	not available	not available	Williams Media E, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636061	P-MTAB-39822	ERS395465 extract	338	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379927	sequencing assay	ERX379927	ERR413622_1	ERR413622	JHH-2	liver	hepatocellular carcinoma
Sample 377	ERS395465	cell	Homo sapiens	NCBI Taxonomy	9606	JHH-2	liver	not applicable	liver	hepatocellular carcinoma	not available	  	not available	not available	Williams Media E, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636061	P-MTAB-39822	ERS395465 extract	338	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379927	sequencing assay	ERX379927	ERR413622_2	ERR413622	JHH-2	liver	hepatocellular carcinoma
Sample 378	ERS395468	cell	Homo sapiens	NCBI Taxonomy	9606	JHH-7	liver	not applicable	liver	hepatocellular carcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636062	P-MTAB-39822	ERS395468 extract	274	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379930	sequencing assay	ERX379930	ERR413625_1	ERR413625	JHH-7	liver	hepatocellular carcinoma
Sample 378	ERS395468	cell	Homo sapiens	NCBI Taxonomy	9606	JHH-7	liver	not applicable	liver	hepatocellular carcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	636062	P-MTAB-39822	ERS395468 extract	274	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379930	sequencing assay	ERX379930	ERR413625_2	ERR413625	JHH-7	liver	hepatocellular carcinoma
Sample 379	ERS395782	cell	Homo sapiens	NCBI Taxonomy	9606	SNU-398	liver	not applicable	liver	hepatocellular carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	636063	P-MTAB-39822	ERS395782 extract	304	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380244	sequencing assay	ERX380244	ERR413939_1	ERR413939	SNU-398	liver	hepatocellular carcinoma
